time,close,high,low,open,volumefrom,volumeto
1524441600,1.22,1.23,1.22,1.23,1444854.89,1768018.71
1524528000,1.22,1.23,1.22,1.22,3709913.58,4533318.39
1524614400,1.22,1.23,1.21,1.22,13614494.92,16627160.4
1524700800,1.21,1.22,1.21,1.22,2000580.82,2432471.78
1524787200,1.21,1.22,1.21,1.21,1405016.45,1701253.95
1524873600,1.22,1.22,1.21,1.21,1222577.9,1482701.31
1524960000,1.21,1.22,1.2,1.22,656458.56,796034.34
1525046400,1.21,1.22,1.21,1.21,872049.47,1054952.4
1525132800,1.2,1.21,1.2,1.21,3383349.18,4080761.13
1525219200,1.2,1.21,1.2,1.2,1446100.25,1735919.32
1525305600,1.2,1.2,1.19,1.2,1018284.7,1222600.62
1525392000,1.2,1.2,1.19,1.2,2089656.75,2503198.71
1525478400,1.2,1.2,1.18,1.2,1102207.08,1320209.22
1525564800,1.2,1.2,1.18,1.2,1051589.36,1257651.3
1525651200,1.19,1.2,1.19,1.2,1205659.04,1439381
1525737600,1.19,1.2,1.18,1.19,1005522.48,1193942.19
1525824000,1.19,1.19,1.1,1.19,24843064.19,29481424.85
1525910400,1.19,1.2,1.19,1.19,700826.47,834039.94
1525996800,1.2,1.2,1.19,1.19,1130126.68,1349313.38
1526083200,1.19,1.22,1.19,1.2,929429.04,1113584.81
1526169600,1.19,1.22,1.18,1.19,534634.48,637782.79
1526256000,1.19,1.2,1.19,1.19,1256247.74,1503240.7
1526342400,1.18,1.2,1.17,1.19,1370360.13,1627905.96
1526428800,1.18,1.19,1.17,1.18,1396149.34,1648536.03
1526515200,1.18,1.18,1.18,1.18,655624.45,773603.83
1526601600,1.16,1.19,1.16,1.18,508780.69,599976.19
1526688000,1.18,1.19,1.16,1.16,346281.11,407362.81
1526774400,1.17,1.19,1.16,1.18,660440.77,776596.49
1526860800,1.18,1.18,1.17,1.17,838746.05,986859.77
1526947200,1.18,1.18,1.17,1.18,583051.28,687304.98
1527033600,1.17,1.18,1.17,1.18,1767158.83,2070168.95
1527120000,1.17,1.18,1.17,1.17,607657.91,713242.36
1527206400,1.17,1.2,1.16,1.17,405485.23,474054.3
1527292800,1.17,1.2,1.16,1.17,163129.49,190483.78
1527379200,1.17,1.18,1.16,1.17,353607.32,413369.67
1527465600,1.16,1.19,1.16,1.17,1664184.57,1941082.61
1527552000,1.16,1.17,1.15,1.16,1081053.97,1250296.9
1527638400,1.17,1.17,1.15,1.15,468431.37,543657.98
1527724800,1.17,1.17,1.16,1.17,1090953.06,1272407.75
1527811200,1.16,1.17,1.16,1.17,389510.76,454374.97
1527897600,1.17,1.17,1.15,1.16,267938.35,312218.28
1527984000,1.17,1.17,1.15,1.17,661450.6,771192.85
1528070400,1.17,1.18,1.17,1.17,760986.41,890346.42
1528156800,1.17,1.17,1.17,1.17,794163.61,927751.74
1528243200,1.17,1.18,1.17,1.17,661690.15,777042.8
1528329600,1.18,1.18,1.17,1.17,544688.79,642465.79
1528416000,1.18,1.18,1.17,1.18,410035.09,482310.61
1528502400,1.17,1.18,1.14,1.18,186796.32,219052.64
1528588800,1.18,1.18,1.17,1.17,1038003.41,1218671.55
1528675200,1.17,1.18,1.17,1.18,707585.58,833097.76
1528761600,1.18,1.18,1.17,1.17,488418.11,574235.12
1528848000,1.18,1.18,1.17,1.18,543810.43,639919.81
1528934400,1.16,1.18,1.15,1.18,1945848.8,2275998.43
1529020800,1.16,1.17,1.15,1.16,333623.2,386762.27
1529107200,1.16,1.18,1.16,1.16,151048.74,175818.12
1529193600,1.16,1.17,1.16,1.16,295234.57,342853.42
1529280000,1.16,1.16,1.16,1.16,488847.19,567495.42
1529366400,1.16,1.16,1.15,1.16,310490.73,358950.27
1529452800,1.15,1.17,1.15,1.16,520838.86,606990.07
1529539200,1.16,1.17,1.14,1.15,1075013.16,1250685.73
1529625600,1.16,1.17,1.16,1.16,2590889.54,3023440.22
1529712000,1.17,1.18,1.15,1.16,943799.96,1107132.26
1529798400,1.17,1.18,1.16,1.17,1683670.73,1968826.98
1529884800,1.17,1.17,1.15,1.17,928609.7,1087705.48
1529971200,1.17,1.17,1.16,1.17,911560.76,1067789.51
1530057600,1.16,1.17,1.15,1.17,870257.32,1017804.32
1530144000,1.15,1.16,1.15,1.16,1124524.02,1307336.64
1530230400,1.17,1.17,1.15,1.15,1141773.52,1336909.33
1530316800,1.17,1.17,1.15,1.17,807763.64,950353.85
1530403200,1.17,1.17,1.15,1.17,536750.04,629732.4
1530489600,1.16,1.17,1.16,1.17,448666.57,523347.41
1530576000,1.17,1.17,1.16,1.16,365608.87,426923.29
1530662400,1.16,1.17,1.15,1.17,395676.21,461199.55
1530748800,1.17,1.17,1.15,1.16,2017707.99,2349074.07
1530835200,1.17,1.18,1.15,1.17,749375.97,887875.52
1530921600,1.17,1.18,1.14,1.17,557783.44,667883.78
1531008000,1.16,1.18,1.14,1.17,961651.62,1144995.65
1531094400,1.17,1.18,1.16,1.16,902289.38,1071215.35
1531180800,1.17,1.17,1.16,1.17,426835.22,509607.11
1531267200,1.16,1.17,1.16,1.17,719337,865752.64
1531353600,1.17,1.17,1.15,1.16,878865.75,1033112.74
1531440000,1.17,1.17,1.15,1.17,1482279.45,1747318.25
1531526400,1.17,1.17,1.16,1.17,888852.5,1046287.77
1531612800,1.16,1.17,1.15,1.17,658290.69,776086.08
1531699200,1.17,1.17,1.16,1.16,2619603.19,3084655.27
1531785600,1.16,1.17,1.16,1.17,4548677.63,5356763.2
1531872000,1.16,1.17,1.16,1.16,3327332.96,3912746.42
1531958400,1.17,1.17,1.15,1.16,2438081.46,2850204.62
1532044800,1.17,1.17,1.16,1.17,3289837.13,3840488.84
1532131200,1.17,1.17,1.16,1.17,3506251.7,4102337.12
1532217600,1.17,1.21,1.17,1.17,2331075.23,2727365.52
1532304000,1.17,1.17,1.16,1.17,3574547.9,4185611.23
1532390400,1.17,1.17,1.16,1.17,2285501.86,2671560.51
1532476800,1.17,1.17,1.16,1.17,555045.34,648804.87
1532563200,1.16,1.17,1.16,1.17,377945.3,441445.16
1532649600,1.16,1.17,1.16,1.16,239392.78,278825.28
1532736000,1.16,1.17,1.16,1.16,85504.21,99581.7
1532822400,1.17,1.17,1.15,1.16,68950.93,80434.51
1532908800,1.17,1.17,1.16,1.17,195770.42,228732.03
1532995200,1.17,1.17,1.17,1.17,466896.94,546660.17
